text,lda,yake,keybert
"Begriffsklärungshinweis Infobox Chemisches Element Name Argon Symbol Ar Ordnungszahl 18 Serie Eg Gruppe 18 Periode 3 Block p Hauptquelle ref name webelements Die Werte für die Eigenschaften (Infobox) sind, wenn nicht anders angegeben, aus http://www.webelements.com/argon/ www.webelements.com (Argon) entnommen. ref Aussehen farbloses Gas Massenanteil 3,6 Parts per million ppm (53. Rang) ref name Harry H. Binder Harry H. Binder: Lexikon der chemischen Elemente. S. Hirzel Verlag, Stuttgart 1999, ISBN 3-7776-0736-3. ref CAS CASRN 7440-37-1 EG-Nummer 231-147-0 ECHA-ID 100.028.315 Atommasse 39,948 (39,792-39,963) ref Angegeben ist der von der IUPAC empfohlene Standardwert, da die Isotopenzusammensetzung dieses Elements örtlich schwanken kann, ergibt sich für das mittlere Atomgewicht der in Klammern angegebene Massenbereich. Siehe: IUPAC Commission on Isotopic Abundances and Atomic Weights: Standard Atomic Weights of 14 Chemical Elements Revised. In: Chemistry International. 40, 2018, S. 23, ","['Sub', 'Tier', 'Gattung']","['Argon', 'Name', 'Element']","['chemisch_element', 'atoms_abruf', 'atom']"
"Dieser Artikel behandelt das chemische Element. Für weitere Bedeutungen siehe Arsen (Begriffsklärung) . Infobox Chemisches Element Name Arsen Symbol As Ordnungszahl 33 Serie Hm Gruppe 15 Periode 4 Block p Aussehen metallisch grau, gelb oder schwarz CAS CASRN 7440-38-2 EG-Nummer 231-148-6 ECHA-ID 100.028.316 Massenanteil 5,5 ppm (47. Rang) ref name Harry H. Binder Harry H. Binder: Lexikon der chemischen Elemente. S. Hirzel Verlag, Stuttgart 1999, ISBN 3-7776-0736-3. ref Hauptquelle ref Die Werte für die Eigenschaften (Infobox) sind, wenn nicht anders angegeben, aus https://www.webelements.com/arsenic/ www.webelements.com (Arsen) entnommen. ref Atommasse 74,921595(6) ref name IUPAC2 http://www.ciaaw.org/pubs/TSAW2013_xls.xls IUPAC, Standard Atomic Weights Revised 2013 . ref Atomradius 115 AtomradiusBerechnet 114 KovalenterRadius 119 VanDerWaalsRadius 185 Elektronenkonfiguration Argon Ar 3 D-Orbital d sup 10 sup 4 S-Orbital s sup 2 sup 4 P-Orbital p sup 3 sup Austrittsarbeit Ionisierungse","['Sub', 'Tier', 'Gattung']","['Sub', 'arsen', 'Name']","['chemisch_element', 'atoms_abruf', 'elementes']"
"Infobox Chemisches Element Name Americium Symbol Am Ordnungszahl 95 Serie Ac Gruppe Ac Periode 7 Block f Hauptquelle ref Die Werte der atomaren und physikalischen Eigenschaften (Infobox) sind, wenn nicht anders angegeben, aus http://www.webelements.com/americium www.webelements.com (Americium) entnommen. ref Aussehen silbrig-weißes Metall CAS CASRN 7440-35-9 EG-Nummer 231-144-4 ECHA-ID 100.028.313 Massenanteil Atommasse 243,061375 ref name Binder Harry H. Binder: Lexikon der chemischen Elemente. S. Hirzel Verlag, Stuttgart 1999, ISBN 3-7776-0736-3, S. 18–23. ref Atomradius 184 AtomradiusBerechnet KovalenterRadius VanDerWaalsRadius 228,5 Elektronenkonfiguration Radon Rn 5 F-Orbital f sup 7 sup 7 S-Orbital s sup 2 sup Austrittsarbeit Ionisierungsenergie_1 ZahlExp 5,97381 suffix (25) post Elektronenvolt eV ref name NIST-ASD-americium NIST-ASD americium Abruf 2020-06-13 ref ≈ ZahlExp 576,38 post Joule kJ / mol ref name Webelements-americium Webelements americium atoms Abruf 2020-06-13 ref ","['Sub', 'Tier', 'Gattung']","['Sub', 'Name', 'Element']","['americiums', 'americium', 'americiumisotop']"
"Dieser Artikel behandelt das naturwissenschaftliche Atom – zu anderen Bedeutungen siehe Atom (Begriffsklärung) . Datei:Helium atom QM DE.svg mini|hochkant=1.7|Ein Helium atom: Der Atomkern (rosa) liegt im Zentrum einer wesentlich größeren Wolke aus zwei Elektron en (grau). In einer maßstäblichen Darstellung würde zu einem Atomkern mit Durchmesser 1 Millimeter eine Elektronenwolke von etwa 100 Meter gehören. Rechts oben ist der Kern aus je zwei Proton en und Neutron en zusätzlich schematisch und vergrößert dargestellt. In Wirklichkeit ist die Anordnung aus den vier Teilchen Symmetrie (Geometrie)#Kugelsymmetrie kugelsymmetrisch . Datei:Kovalente Atomradien auf Basis der Cambridge Structural Database.svg mini|700px|Die Atome der Elemente in der Anordnung des Periodensystem s in maßstäblicher Darstellung ihres Kovalenter Radius kovalenten Radius Atome (von grcS ἄτομος átomos „unteilbar“) sind die Bausteine, aus denen alle Festkörper festen , Flüssigkeit flüssigen und Gas gasförmigen Materi","['Sub', 'Tier', 'Gattung']","['Atom', 'Name', 'Autor']","['atom', 'atoms', 'atomsonde']"
"Begriffsklärungshinweis Aristoteles ( grcS Ἀριστοτέλης Aristotélēs prefix nein , Betonung lateinisch und deutsch: Aristóteles; * 384 v. Chr. in Stageira ; † 322 v. Chr. in Chalkida Chalkis auf Euböa ) war ein Antikes Griechenland griechischer Universalgelehrter . Er gehört zu den bekanntesten und einflussreichsten Philosophie der Antike Philosophen und Naturgeschichte Naturforschern der Geschichte. Sein Lehrer war Platon , doch hat Aristoteles zahlreiche Disziplinen entweder selbst begründet oder maßgeblich beeinflusst, darunter Wissenschaftstheorie , Naturphilosophie , Logik , Biologie , Medizin , Physik , Ethik , Staatstheorie und Poetik Dichtungstheorie . Aus seinem Gedankengut entwickelte sich der Aristotelismus . Datei:Aristotle Altemps Inv8575.jpg mini|Aristoteles-Porträt in moderner Büste, römische Kopie nach einer Skulptur des Bildhauers Lysipp (?). Rom, Palazzo Altemps Datei:Aristoteles Louvre.jpg mini|Porträt des Aristoteles, römische Kopie nach dem Original des Lysipp (?); P","['Philosophie', 'antik', 'Schrift']","['aristoteles', 'Kategorie', 'Substanz']","['aristotelesforschung', 'aristotelesverboten', 'aristotelismus']"
"Begriffsklärungshinweis Datei:Abraham Lincoln O-77 matte collodion print.jpg mini|Abraham Lincoln (1863) br Foto: Alexander Gardner Datei:Abraham Lincoln Signature.svg rahmenlos|hochkant Abraham Lincoln IPA ˈeɪbɹəhæm ˈliŋkən Tondatei GeoTrinity Abraham Lincoln.ogg (* 12. Februar 1809 bei Hodgenville , Hardin County (Kentucky) Hardin County , heute: LaRue County , Kentucky ; † 15. April 1865 in Washington, D.C. ) amtierte von 1861 bis 1865 als Liste der Präsidenten der Vereinigten Staaten 16. Präsident der Vereinigten Staaten Präsident der Vereinigten Staaten von Amerika . Im Jahr Präsidentschaftswahl in den Vereinigten Staaten 1860 1860 erstmals gewählt , gelang ihm Präsidentschaftswahl in den Vereinigten Staaten 1864 1864 die Wiederwahl für eine zweite Amtszeit. Er war der erste Präsident aus den Reihen der Republikanische Partei Republikanischen Partei und der erste, der einem Attentat auf Abraham Lincoln Attentat zum Opfer fiel. Lincolns Präsidentschaft gilt als eine der bedeutendst","['London', 'vereinigen', 'John']","['Lincoln', 'Abraham', 'Staat']","['lincoln', 'abraham_lincoln', 'lincolnproject']"
"Weiterleitungshinweis Octavian und Oktavian Zu weiteren jeweiligen Bedeutungen siehe Augustus (Begriffsklärung) und Oktavian (Name) . mehrzahl 1 Datei:Glyptothek München – 18.04.2022 – Augustus Bevilacqua (4).jpg mini|hochkant=1.2| center Augustus mit Bürgerkrone ( Corona civica ) br So genannte „Augustus Bevilacqua“-Büste, Glyptothek (München) Münchner Glyptothek Augustus (* 23. September 63 v. Chr. als Gaius Octavius in Rom ref Sueton, Augustus http://penelope.uchicago.edu/Thayer/E/Roman/Texts/Suetonius/12Caesars/Augustus*.html#5 5,1 . ref ; † 19. August 14 14 n. Chr. in Nola (Kampanien) Nola bei Neapel ) war der erste Liste der römischen Kaiser der Antike römische Kaiser . Der Großneffe und Haupterbe Gaius Iulius Caesar s gewann die Machtkämpfe, die auf dessen Ermordung im Jahr 44 v. Chr. folgten, und war von 31 v. Chr. bis 14 n. Chr. Alleinherrscher des Römisches Reich Römischen Reiches . Unter der Devise der Wiederherstellung der Römische Republik Republik – restitutio rei publica","['römisch', 'Kaiser', 'König']","['Augustus', 'Roman', 'Http']","['octavians_rechtsstellung_im_januar_27_v', 'kaiser_augustus', '12caesar_augustus']"
"Infobox Chemikalie Strukturformel Datei:Ammoniak.svg 100px|Strukturformel von Ammoniak Suchfunktion NH3 Andere Namen * Azan ( IUPAC-Nomenklatur IUPAC ) ref Literatur Hrsg R. Panico, W. H. Powell, J.-C. Richer Titel A Guide to IUPAC Nomenclature of Organic Compounds TitelErg IUPAC Commission on the Nomenclature of Organic Chemistry Verlag Blackwell Scientific Publications Ort Oxford Datum 1993 ISBN 0-632-03488-2 Seiten 37 ref Alkali volatile alkalische Luft Ammonia flüchtiges Laugensalz tierisches Laugensalz Kältemittel#Ammoniak_(R-717) R717 INCI Name AMMONIA ID 31839 Abruf 2020-02-16 Summenformel NH sub 3 sub CAS CASRN 7664-41-7 EG-Nummer 231-635-3 ECHA-ID 100.028.760 PubChem 222 DrugBank DB11118 Beschreibung farbloses, stechend riechendes Gas ref name GESTIS GESTIS Name Ammoniak, wasserfrei ZVG 1100 CAS 7664-41-7 Abruf 2021-01-08 ref Molare Masse 17,03 g· mol sup −1 sup Aggregat gasförmig Dichte 0,7714 kg·m sup −3 sup (0 °C, 1013 mbar) ref name GESTIS Schmelzpunkt −77,7 Grad Celsius °","['Sub', 'Tier', 'Gattung']","['Sub', 'Name', 'Formel']","['ammoniakhaltig', 'ammonia', 'ammoniakgehalt']"
"Dieser Artikel behandelt das Akkadische . Zum Akadischen siehe Akadisches Französisch . Infobox Sprache Sprache Akkadisch Länder vormals in Mesopotamien , Syrien Sprecher keine ( ausgestorbene Sprache ) Klassifikation Afroasiatische Sprachen Semitische Sprachen Ostsemitische Sprachen KSprache Akkadisch Amtssprache ISO1 - ISO2 akk ISO3 http://www.sil.org/iso639-3/documentation.asp?id=akk akk Akkadisch ( akkadû , lang akk 𒀝𒅗𒁺𒌑 ak-ka-du-u sub 2 sub ; Logogramm: lang akk 𒌵𒆠 URI sup KI sup ) ref Jeremy A. Black, Andrew George, J. N. Postgate: A Concise Dictionary of Akkadian. Otto Harrassowitz, 2000, ISBN 978-3-447-04264-2, S. 10 ( https://books.google.com/books?id=-qIuVCsRb98C&lpg=PA10&vq=akkadu&pg=PA10#v=snippet&q=akkadu&f=false online ). ref ref John Huehnergard, Christopher Woods: Akkadian and Eblaite. In: Roger D. Woodard (Hrsg.): The Cambridge Encyclopedia of the World’s Ancient Languages . Cambridge 2004, S. 218–280. ref ist eine ausgestorbene Semitische Sprachen semitische Sprache ,","['Museum', 'Paris', 'Kunst']","['Text', 'stylen', 'Sprache']","['semitisch_sprechen', 'assyrianlanguages', 'glossing_of_common_akkadian_forms']"
"Infobox Staat NAME-AMTSSPRACHE República Argentina NAME-DEUTSCH Argentinische Republik BILD-FLAGGE Flag of Argentina.svg ARTIKEL-FLAGGE Flagge Argentiniens BILD-WAPPEN Coat of arms of Argentina.svg ARTIKEL-WAPPEN Wappen Argentiniens WAHLSPRUCH En Unión y Libertad br ( Spanische Sprache spanisch , „In Einigkeit und Freiheit“) AMTSSPRACHE Spanische Sprache Spanisch br Regionale indigene Amtssprachen der: Guaraní (Sprache) Guaraní , Wichí , Toba (Volk) Toba , Mocoví HAUPTSTADT Buenos Aires STAATS- UND REGIERUNGSFORM Präsidentielles Regierungssystem präsidentielle Republik ( Bundesstaat (föderaler Staat) Bundesrepublik ) STAATSOBERHAUPT Präsident von Argentinien Präsident br Alberto Ángel Fernández Alberto Fernández FLÄCHE 2.780.400 small ( Liste von Staaten und Territorien nach Fläche 8. ) small ref name CIAWF Webarchiv wayback 20200804152940 url https://www.cia.gov/library/publications/the-world-factbook/geos/ar.html text CIA World Factbook, abgerufen am 02. Juni 2023 ref EINWOHNER 46.04","['London', 'vereinigen', 'John']","['Buenos', 'Provinz', 'Argentinien']","['historias_de_inmigrantes_italianos_en_argentina', 'buenos_aires', 'argentinainvestiga']"
